Caractere: 0 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000100000000000000000111110000000000000001101110000000000000110001100000000000011000001000000000000110000011000000000001100000110000000000010000001100000000000100000001000000000001000000010000000000010000001100000000000110000011000000000001100000100000000000001100011000000000000011100110000000000000011111000000000000000001100000000000000000000000000 | Angles (Degrés): [118.3, 136.1, 144.4, 136.9, 113.8, 145.3, 142.7, 142.6] | Courbes: 38
Caractere: 3 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000111110000000000000011111110000000000000100001110000000000000000001100000000000000000011000000000000000000110000000000000000111000000000000000111111100000000000001110011000000000000000000011000000000000000000110000000000000000001100000000000000000110000000000000000001100000000000000001110000000000000001111000000000000000111100000000000000000000000000000 | Angles (Degrés): [133.2, 8.1, 114.9, 86.9, 27.5, 118.5, 96.5, 2.5, 78.2, 114.9, 102.1] | Courbes: 64
Caractere: 3 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000001000000000000000001111100000000000000111011100000000000011000011000000000000110000011000000000011000000110000000000110000000110000000001100000001100000000011000000011000000000110000000010000000000100000001100000000001100000011000000000011100000100000000000011100111000000000000011111100000000000000000100000000000000000000000000000000000000000000000000 | Angles (Degrés): [1.6, 140.3, 150.1, 5.3, 145.1, 138.4, 116.1, 134.6, 134.1, 140.8, 2.6, 141.2, 119.3, 123.2, 130.0, 14.5] | Courbes: 73
Caractere: 3 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000001111100000000000000111111100000000000001000011000000000000000000010000000000000000001100000000000000000111000000000000001111110000000000000011111110000000000000000000110000000000000000001100000000000000000011000000000000010111100000000000000111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [46.3, 143.1, 0.0, 116.6, 107.1, 17.8, 127.6, 4.4, 140.0, 145.4, 7.9, 148.3, 11.2, 153.6, 155.6, 56.3, 163.2, 14.5, 126.0, 10.5, 129.6, 135.0, 7.1, 137.9, 139.7, 149.3, 5.5, 156.8, 151.3, 18.4, 152.0] | Courbes: 50
Caractere: 3 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011011000000000000000110111000000000000001000110000000000000000000100000000000000000011000000000000000011110000000000000001111110000000000000010011100000000000000000001100000000000000000011000000000000000000110000000000000111111000000000000001111110000000000000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [90.0, 135.0, 135.0, 135.0, 90.0, 135.0, 90.0, 90.0, 135.0, 135.0, 7.3, 140.9, 146.5, 0.6, 135.2, 144.4, 5.5, 148.3, 39.7, 136.8, 146.4, 18.9, 152.0, 9.1, 47.5, 159.1, 20.2, 133.3, 9.5, 149.6, 128.1, 108.9, 3.9, 113.2, 136.7, 142.2] | Courbes: 49
Caractere: 3 | Grille Binaire (20x20): 0000000000000000000000000000111000000000000000111111100000000000001110011100000000000000000011000000000000000000110000000000000000011100000000000000011110000000000000001111110000000000000011001110000000000000000000110000000000000000001000000000000000000010000000000000000011100000000000001111111000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [6.7, 130.8, 138.8, 0.2, 130.9, 132.3, 14.1, 156.9, 18.2, 150.7, 153.9, 1.7, 127.2, 89.9, 12.7, 124.1, 124.5, 134.2] | Courbes: 60
Caractere: 4 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000000011000000000000000000110000000000000000011100000000000000001111000000000000000011010000000000000001100110000000000000011111111000000000001111111000000000000011000110000000000000000001100000000000000000011000000000000000000110000000000000000000100000000000000000001000000000000000000010000000000000000000100000000000000000000000000000 | Angles (Degrés): [43.6, 0.9, 48.9, 92.9, 2.1, 88.7, 1.2, 83.4, 3.7, 97.7] | Courbes: 46
Caractere: 4 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000000000011000000000000000001110000000000000000011100000000000000001111000000000000000110110000000000000011000000000000000001111111000000000000011111111111000000000000001100100000000000000011000000000000000000110000000000000000001100000000000000000011000000000000000000110000000000000000001100000000000000000011000000000000000000000000000 | Angles (Degrés): [47.5, 3.9, 51.2, 90.3, 2.1, 96.6, 0.6, 84.8, 2.7, 93.9] | Courbes: 32
Caractere: 4 | Grille Binaire (20x20): 0000000000000000000000000000000010000000000000000001100000000000000000011000000000000000001110000000000000000111000000000000000001101000000000000000110010000000000000011000101110000000000111111111100000000001111110000000000000000000110000000000000000001100000000000000000011000000000000000000110000000000000000001100000000000000000011000000000000000000110000000000000000001100000000000000000000000000 | Angles (Degrés): [0.0, 0.0, 0.0, 0.0, 5.5, 163.0, 11.5, 8.7, 164.7, 6.6, 43.2, 3.2, 48.1, 1.7] | Courbes: 41
Caractere: 5 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000000011111110000000000000011111110000000000000100000000000000000001000000000000000000010000000000000000000101111000000000000001111111000000000000011100011000000000000000000110000000000000000001100000000000000000011000000000000000000110000000000000000011000000000000001111100000000000000011110000000000000000000000000000000000000000000000 | Angles (Degrés): [79.6, 83.2, 130.5, 103.8, 128.1, 7.2, 119.6, 72.8, 100.4, 81.8, 2.3] | Courbes: 47
Caractere: 5 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000011111100000000000000111111110000000000001100000000000000000011000000000000000000110000000000000000001111110000000000000011111110000000000000110001110000000000000000001100000000000000000011000000000000000000110000000000000000011000000000000001001110000000000000111111000000000000000000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [83.0, 97.5, 66.6, 127.3, 9.7, 122.2, 59.8, 95.2, 85.3, 2.3] | Courbes: 47
Caractere: 5 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000111111100000000000001111111100000000000001000000000000000000010000000000000000000100000000000000000001000000000000000000011111110000000000000111111110000000000001100001100000000000000000001000000000000000000010000000000000000001100000000000000000011000000000000000001100000000000000111111000000000000001111000000000000000000000000000000000000000000000000 | Angles (Degrés): [79.6, 81.9, 129.0, 101.2, 127.9, 16.3, 125.6, 88.9, 127.0, 80.7, 83.0, 2.6] | Courbes: 53
Caractere: 5 | Grille Binaire (20x20): 0000000000000000000000000000111111110000000000001111111100000000000011000000000000000000110000000000000000001100000000000000000011000000000000000000110011000000000000001111111100000000000011100011100000000000110000011000000000000000000110000000000000000001100000000000000000011000000000000000001100000000000000000011000000000000000001100000000000000111110000000000000001111000000000000000000000000000 | Angles (Degrés): [90.0, 135.0, 90.0, 149.0, 76.0, 90.0, 135.0, 135.0, 90.0, 9.7, 51.3, 105.4, 147.0, 81.3, 91.1, 72.6, 2.2, 73.2, 93.7, 83.1, 1.6] | Courbes: 53
Caractere: 6 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000110000000000000000011100000000000000000110000000000000000011000000000000000000111000000000000000001111100000000000000110001100000000000000100011000000000000001000010000000000000011000100000000000000110011000000000000001111110000000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [9.3, 8.5, 162.1, 18.2, 146.9, 145.7, 132.9, 119.6, 111.4, 1.7, 120.8, 117.8, 129.9, 128.0] | Courbes: 45
Caractere: 6 | Grille Binaire (20x20): 0000000000000000000000000000011000000000000000000110000000000000000011000000000000000000110000000000000000011000000000000000000111110000000000000001101110000000000000000001100000000000000110001100000000000001100011000000000000011000110000000000000011111000000000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [8.2, 11.7, 160.1, 0.4, 146.1, 145.7, 130.6, 124.1, 115.6, 2.0, 123.2, 125.2, 128.3, 140.2, 147.5] | Courbes: 44
Caractere: 6 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000000000100000000000000000011000000000000000001100000000000000000011000000000000000001100000000000000000011111000000000000000111111000000000000001100011000000000000011000110000000000000110000100000000000001100001000000000000001100110000000000000011111100000000000000011110000000000000000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [71.6, 90.0, 126.9, 100.3, 98.1, 108.4, 135.0, 153.4, 24.8, 3.0, 135.0, 135.0, 158.2, 16.4, 146.7, 136.3, 133.8, 124.5, 127.1, 2.5, 132.6, 116.4, 131.1, 122.3, 34.4, 142.1, 161.6, 21.9] | Courbes: 48
Caractere: 6 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000000000110000000000000000011100000000000000001110000000000000000011000000000000000000110000000000000000001111100000000000000011111100000000000001100011000000000000001000011000000000000010000110000000000000110001100000000000001100011000000000000001111100000000000000001111000000000000000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [116.6, 116.6, 161.6, 135.0, 63.4, 116.6, 90.0, 135.0, 108.4, 3.8, 18.4, 157.8, 19.4, 144.8, 118.9, 104.5, 110.7, 20.1, 88.1, 126.0, 124.3] | Courbes: 49
Caractere: 7 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000011111110000000000000111101100000000000000000011000000000000000000110000000000000000111000000000000001111110000000000000011101100000000000000000011000000000000000000100000000000000000001000000000000000000010000000000000000000000000000000000000000000000000 | Angles (Degrés): [45.0, 161.6, 116.6, 63.4, 135.0, 108.4, 9.3, 164.9, 5.8, 64.9, 0.5, 82.1, 16.7, 69.1, 2.7, 73.8, 7.4] | Courbes: 34
Caractere: 7 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000000001111111000000000000011111110000000000000000001100000000000000000011000000000000000000110000000000000011111000000000000001111110000000000000000001100000000000000000011000000000000000000110000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [0.3, 78.2, 2.8, 75.7, 122.9, 121.5, 2.7, 76.0, 8.8] | Courbes: 30
Caractere: 7 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000100000000000000000001111111000000000000000111110000000000000000000100000000000000000011000000000000000000110000000000000111111000000000000001111110000000000000000001100000000000000000011000000000000000000100000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 | Angles (Degrés): [0.2, 78.1, 110.6, 1.6, 79.4, 6.4, 80.0] | Courbes: 36
Caractere: 7 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000010011000000000001111110111000000000001100000110000000000000000001000000000000000000110000000000000000001100000000000000000011000000000000000110100000000000001111111000000000000011100110000000000000000001100000000000000000010000000000000000000100000000000000000001000000000000000000010000000000000000001100000000000000000000000000000000000000000000000000 | Angles (Degrés): [0.0, 0.0, 69.3, 160.4, 7.0, 90.3, 33.7, 0.0, 0.0, 1.5, 80.7, 15.8, 134.2, 109.3] | Courbes: 39
Caractere: 8 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000001110000000000000000111100000000000000011101100000000000000110011000000000000001000010000000000000011001100000000000000111111000000000000000111100000000000000000111100000000000000011011000000000000001110011000000000000011000110000000000000110001100000000000000100011000000000000001101100000000000000011111000000000000000000000000000000000000000000000 | Angles (Degrés): [71.2, 79.3, 114.4, 2.0, 118.3, 82.9, 101.5, 111.9, 120.4, 69.7, 49.8, 105.6, 113.7] | Courbes: 76
Caractere: 8 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000000000000000011110000000000000001100110000000000000010001100000000000000100011000000000000001100110000000000000011111000000000000000001111000000000000000111110000000000000001100110000000000000010001100000000000001100011000000000000001000110000000000000011111000000000000000011100000000000000000000000000000000 | Angles (Degrés): [33.7, 146.3, 153.4, 26.6, 40.6, 154.7, 142.1, 130.2, 20.5, 150.7, 126.9, 10.9, 48.8, 135.0, 165.3, 0.7, 149.6, 4.4, 144.5, 50.9, 116.6, 135.0, 153.4, 37.9, 136.2, 0.2, 142.4, 8.9, 151.5, 45.0, 135.0, 149.0, 149.0, 23.2, 156.8, 0.3, 155.1, 2.7, 152.1, 114.4, 150.7, 142.7, 130.4, 19.4, 107.5, 106.4, 16.3] | Courbes: 61
Caractere: 8 | Grille Binaire (20x20): 0000000000000000000000000000000110000000000000000111110000000000000011101100000000000000110001000000000000001100010000000000000011001100000000000000111011000000000000000111100000000000000000111000000000000000001111000000000000000110011000000000000001000110000000000000110001100000000000001100011000000000000001000110000000000000011111000000000000000011100000000000000000000000000000000000000000000000 | Angles (Degrés): [6.4, 149.9, 152.4, 14.3, 143.0, 3.4, 136.8, 129.1, 112.7, 24.4, 122.8, 134.6, 136.1, 137.3, 83.9, 84.8, 100.4, 8.1, 88.0, 78.3, 78.4, 132.8, 1.2, 124.1] | Courbes: 78
Caractere: 8 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000111100000000000000001111100000000000000110011000000000000001000110000000000000010001100000000000000110011000000000000001111110000000000000001111000000000000000001110000000000000000110110000000000000011000110000000000000110001100000000000001000011000000000000011000110000000000000110011000000000000001111110000000000000001111000000000000000000000000000 | Angles (Degrés): [6.3, 142.7, 18.5, 149.6, 148.2, 4.4, 149.6, 5.5, 159.5, 39.5, 139.8, 163.1, 140.0, 33.7, 156.0, 7.0, 154.8, 18.2, 2.6, 126.6, 17.0, 149.4, 137.6, 84.3, 82.2, 3.2, 82.4, 84.8, 127.3, 2.4, 122.5] | Courbes: 84
Caractere: 9 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000000011000000000000000000111100000000000000011011000000000000000110110000000000000001101100000000000000001111000000000000000001110000000000000000000100000000000000000001000000000000000000011000000000000000000110000000000000000001100000000000000110110000000000000001101100000000000000000010000000000000000000000000000000000000000000000000 | Angles (Degrés): [57.1, 90.0, 145.3, 126.9, 90.0, 123.7, 162.3, 9.0, 156.8, 153.4, 6.5, 143.9, 150.8, 0.0, 0.0, 142.6, 135.4, 134.6, 138.9, 129.3, 25.2, 112.6, 124.1, 129.0, 19.8] | Courbes: 36
Caractere: 9 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000000000000000000000011110000000000000001111100000000000000011001000000000000000110010000000000000001101100000000000000011111000000000000000011111000000000000000000110000000000000000001100000000000000000001000000000000000000010000000000000000000100000000000000000001000000000000000000010000000000000001101100000000000000011000000000000000000000000000000000 | Angles (Degrés): [63.4, 90.0, 116.6, 138.4, 113.2, 90.0, 135.0, 116.6, 143.1, 63.4, 116.6, 150.3, 123.7, 63.4, 143.1, 0.0, 0.0, 3.4, 141.1, 141.1, 132.5, 120.3, 15.1, 109.5, 125.1, 138.8] | Courbes: 47
Caractere: 9 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000001110000000000000000011110000000000000001100100000000000000011001000000000000000110010000000000000000111100000000000000001111100000000000000000011000000000000000000110000000000000000001100000000000000000011000000000000000000010000000000000000001100000000000000010011000000000000000111100000000000000000110000000000000000000000000000000000000000000000000 | Angles (Degrés): [3.0, 150.1, 157.1, 18.3, 148.4, 89.7, 111.6, 109.6, 68.2, 0.5, 117.9] | Courbes: 34
Caractere: 9 | Grille Binaire (20x20): 0000000000000000000000000000000000000000000000111000000000000000011110000000000000000110110000000000000001001100000000000000010011000000000000000110110000000000000001111100000000000000001111100000000000000000011000000000000000000110000000000000000001100000000000000000001000000000000000000010000000000000000001100000000000000000011000000000000000111110000000000000001111000000000000000000000000000000 | Angles (Degrés): [16.4, 151.2, 7.6, 151.8, 155.5, 86.5, 110.0, 116.4, 71.3, 1.1, 119.4] | Courbes: 42
